,feature,importance,normalized_importance,cumulative_importance
25,IQ_TEV_EBIT,288.5,0.011481216173193249,0.7536612543775866
26,IQ_LOWPRICE,277.1,0.01102753900031837,0.764688793377905
27,IQ_TARGET_PRICE_NUM,271.4,0.010800700413880928,0.7754894937917859
28,IQ_HIGHPRICE,264.6,0.010530085959885386,0.7860195797516712
29,IQ_MARKETCAP,264.6,0.010530085959885386,0.7965496657115566
30,IQ_PE_NORMALIZED,248.9,0.009905284941101558,0.8064549506526582
31,IQ_MKTCAP_TOTAL_REV,243.50000000000003,0.009690385227634511,0.8161453358802927
32,IQ_EST_NUM_NEUTRAL_REC,230.79999999999998,0.009184972938554598,0.8253303088188473
33,IQ_MKTCAP_TOTAL_REV_OUT,217.5,0.008655682903533905,0.8339859917223812
34,IQ_LASTSALEPRICE,207.8,0.008269659344157911,0.8422556510665391
35,IQ_PRICEDATE,196.9,0.00783588029290035,0.8500915313594395
36,IQ_MKTCAP_EBT_EXCL,196.4,0.00781598217128303,0.8579075135307225
37,IQ_YEARHIGH,188.79999999999998,0.007513530722699775,0.8654210442534223
38,IQ_MEDIAN_TARGET_PRICE,178.7,0.007111588666029925,0.8725326329194522
39,IQ_EST_NUM_HIGH_REC,166.0,0.006606176376950015,0.8791388092964022
40,IQ_TEV_EBIT_OUT,148.1,0.005893823623049983,0.8850326329194522
41,IQ_MKTCAP_EBT_EXCL_OUT,147.4,0.005865966252785736,0.8908985991722379
42,IQ_TEV,142.8,0.005682903533906399,0.8965815027061443
43,IQ_VWAP,127.4,0.005070041388092963,0.9016515440942373
44,IQ_ACCT_RECV_1YR_ANN_GROWTH,115.6,0.004600445717924227,0.9062519898121615
45,IQ_CLOSEPRICE_ADJ,108.60000000000001,0.004321872015281757,0.9105738618274433
46,IQ_YEARLOW,97.6,0.0038841133397007313,0.914457975167144
47,IQ_TBV_3YR_ANN_CAGR,96.3,0.0038323782234957015,0.9182903533906397
48,IQ_COMMON_EQUITY_10YR_ANN_CAGR,92.79999999999998,0.0036930913721744656,0.9219834447628141
49,IQ_ACCT_RECV_3YR_ANN_CAGR,84.1,0.0033468640560331098,0.9253303088188473
50,IQ_HIGH_TARGET_PRICE,82.4,0.0032792104425342244,0.9286095192613815
51,IQ_ACCT_RECV_5YR_ANN_CAGR,69.89999999999999,0.002781757402101241,0.9313912766634828
52,IQ_GP_10YR_ANN_CAGR,67.10000000000001,0.0026703279210442536,0.934061604584527
53,IQ_CURRENT_RATIO,59.199999999999996,0.0023559375994906076,0.9364175421840176
54,IQ_LOW_TARGET_PRICE,59.10000000000001,0.002351957975167144,0.9387695001591848
55,IQ_ACCT_RECV_7YR_ANN_CAGR,57.4,0.0022843043616682583,0.9410538045208531
56,IQ_EQUITY_BIDPRICE,54.300000000000004,0.0021609360076408784,0.943214740528494
57,IQ_SHARESOUTSTANDING,54.00000000000001,0.002148997134670487,0.9453637376631645
58,IQ_GROSS_MARGIN,52.400000000000006,0.0020853231454950653,0.9474490608086595
59,IQ_RETURN_EQUITY,51.699999999999996,0.0020574657752308175,0.9495065265838903
60,IQ_ACCT_RECV_2YR_ANN_CAGR,49.800000000000004,0.001981852913085005,0.9514883794969754
61,IQ_Z_SCORE,49.8,0.0019818529130850044,0.9534702324100605
62,IQ_SGA_MARGIN,47.39999999999999,0.0018863419293218713,0.9553565743393824
63,IQ_TOTAL_REV_1YR_ANN_GROWTH,44.89999999999999,0.0017868513212352748,0.9571434256606176
64,IQ_ACCT_RECV_10YR_ANN_CAGR,43.900000000000006,0.0017470550780006367,0.9588904807386183
65,IQ_RETURN_ASSETS,41.7,0.0016595033428844317,0.9605499840815027
66,IQ_COMMON_EQUITY_1YR_ANN_GROWTH,40.10000000000001,0.00159582935370901,0.9621458134352118
67,IQ_GP_2YR_ANN_CAGR,40.1,0.0015958293537090098,0.9637416427889208
68,IQ_TOTAL_REV_10YR_ANN_CAGR,37.599999999999994,0.0014963387456224128,0.9652379815345432
69,IQ_EQUITY_ASKPRICE,35.300000000000004,0.0014048073861827443,0.966642788920726
70,IQ_MKTCAP_TOTAL_REV_EXER,35.2,0.0014008277618592804,0.9680436166825852
71,IQ_TOTAL_ASSETS_1YR_ANN_GROWTH,33.7,0.0013411333970073224,0.9693847500795926
72,IQ_EBITA_3YR_ANN_CAGR,33.0,0.0013132760267430754,0.9706980261063356
73,IQ_TOTAL_REV_3YR_ANN_CAGR,32.5,0.0012933779051257559,0.9719914040114613
74,IQ_RETURN_INVESTED_CAPITAL,31.4,0.0012496020375676535,0.973241006049029
75,IQ_QUICK_RATIO,30.9,0.001229703915950334,0.9744707099649793
76,IQ_DPS_2YR_ANN_CAGR,30.599999999999998,0.0012177650429799425,0.9756884750079593
77,IQ_TBV_1YR_ANN_GROWTH,30.3,0.001205826170009551,0.9768943011779688
78,IQ_ASSET_TURNS,29.299999999999997,0.001166029926774912,0.9780603311047438
79,IQ_EQUITY_MIDPRICE,28.5,0.0011341929321872014,0.979194524036931
80,IQ_TOTAL_ASSETS_10YR_ANN_CAGR,27.700000000000003,0.0011023559375994906,0.9802968799745304
81,IQ_GP_1YR_ANN_GROWTH,26.400000000000006,0.0010506208213944604,0.9813475007959249
82,IQ_NEXT_DIV_AMOUNT,25.599999999999998,0.0010187838268067493,0.9823662846227317
83,IQ_TOTAL_REV_5YR_ANN_CAGR,25.599999999999998,0.0010187838268067493,0.9833850684495384
84,IQ_TOTAL_REV_2YR_ANN_CAGR,23.7,0.0009431709646609359,0.9843282394141993
85,IQ_RETURN_CAPITAL,23.400000000000002,0.0009312320916905444,0.9852594715058899
86,IQ_COMMON_EQUITY_2YR_ANN_CAGR,22.8,0.0009073543457497612,0.9861668258516396
87,IQ_TEV_EBIT_EXER,22.700000000000003,0.0009033747214262974,0.9870702005730659
88,IQ_NI_NORM_3YR_ANN_CAGR,22.000000000000004,0.0008755173511620503,0.987945717924228
89,IQ_TOTAL_ASSETS_7YR_ANN_CAGR,21.3,0.0008476599808978032,0.9887933779051258
90,IQ_EBITA_1YR_ANN_GROWTH,20.8,0.0008277618592804838,0.9896211397644062
91,IQ_TOTAL_ASSETS_2YR_ANN_CAGR,20.0,0.0007959248646927728,0.9904170646290991
92,IQ_COMMON_EQUITY_3YR_ANN_CAGR,17.099999999999998,0.0006805157593123207,0.9910975803884113
93,IQ_TOTAL_ASSETS_3YR_ANN_CAGR,16.8,0.0006685768863419293,0.9917661572747533
94,IQ_EBITDA_MARGIN,15.899999999999999,0.0006327602674307544,0.992398917542184
95,IQ_NI_NORM_MARGIN,15.799999999999999,0.0006287806431072905,0.9930276981852914
96,IQ_EBITA_MARGIN,15.200000000000003,0.0006049028971665075,0.9936326010824579
97,IQ_DPS_1YR_ANN_GROWTH,15.0,0.0005969436485195797,0.9942295447309775
98,IQ_GP_3YR_ANN_CAGR,13.9,0.0005531677809614772,0.994782712511939
99,IQ_TBV_2YR_ANN_CAGR,13.499999999999998,0.0005372492836676217,0.9953199617956066
100,IQ_EBITA_2YR_ANN_CAGR,12.3,0.0004894937917860554,0.9958094555873926
101,IQ_NI_NORM_2YR_ANN_CAGR,11.4,0.0004536771728748806,0.9962631327602676
102,IQ_MKTCAP_EBT_EXCL_EXER,11.2,0.0004457179242279528,0.9967088506844956
103,IQ_COMMON_EQUITY_7YR_ANN_CAGR,9.200000000000001,0.0003661254377586756,0.9970749761222543
104,IQ_NI_NORM_1YR_ANN_GROWTH,7.8999999999999995,0.00031439032155364526,0.9973893664438079
105,IQ_GP_5YR_ANN_CAGR,7.6,0.0003024514485832537,0.9976918178923911
106,IQ_NI_NORM_5YR_ANN_CAGR,7.000000000000001,0.0002785737026424705,0.9979703915950336
107,IQ_COMMON_EQUITY_5YR_ANN_CAGR,7.0,0.0002785737026424705,0.9982489652976761
108,IQ_TOTAL_REV_7YR_ANN_CAGR,6.6,0.00026265520534861505,0.9985116205030248
109,IQ_TOTAL_ASSETS_5YR_ANN_CAGR,5.800000000000001,0.00023081821076090416,0.9987424387137857
110,IQ_GP_7YR_ANN_CAGR,5.699999999999999,0.00022683858643744023,0.9989692773002231
111,IQ_EBIT_MARGIN,5.5,0.00021887933779051255,0.9991881566380136
112,IQ_DPS_3YR_ANN_CAGR,4.800000000000001,0.00019102196752626553,0.9993791786055399
113,IQ_EBIT_2YR_ANN_CAGR,3.9999999999999996,0.00015918497293855455,0.9995383635784785
114,IQ_TBV_10YR_ANN_CAGR,3.9000000000000004,0.00015520534861509074,0.9996935689270936
115,IQ_EBIT_3YR_ANN_CAGR,2.9,0.00011540910538045206,0.999808978032474
116,IQ_TBV_5YR_ANN_CAGR,1.8,7.163323782234957e-05,0.9998806112702964
117,IQ_DPS_5YR_ANN_CAGR,1.5999999999999999,6.367398917542183e-05,0.9999442852594718
118,IQ_DIV_AMOUNT,1.0,3.9796243234638644e-05,0.9999840815027065
119,IQ_EBIT_1YR_ANN_GROWTH,0.2,7.959248646927729e-06,0.9999920407513534
120,IQ_TBV_7YR_ANN_CAGR,0.2,7.959248646927729e-06,1.0000000000000002
134,IQ_CLASS_SHARESOUTSTANDING,0.0,0.0,1.0000000000000002
133,IQ_VALUE_TRADED_LAST_YR,0.0,0.0,1.0000000000000002
132,IQ_VALUE_TRADED_LAST_6MTH,0.0,0.0,1.0000000000000002
131,IQ_VALUE_TRADED_LAST_3MTH,0.0,0.0,1.0000000000000002
130,IQ_DPS_10YR_ANN_CAGR,0.0,0.0,1.0000000000000002
129,IQ_VALUE_TRADED_LAST_MTH,0.0,0.0,1.0000000000000002
135,IQ_RETURN_COMMON_EQUITY,0.0,0.0,1.0000000000000002
128,IQ_VOL_LAST_YR,0.0,0.0,1.0000000000000002
126,IQ_VOL_LAST_6MTH,0.0,0.0,1.0000000000000002
125,IQ_VOL_LAST_3MTH,0.0,0.0,1.0000000000000002
124,IQ_VOL_LAST_MTH,0.0,0.0,1.0000000000000002
123,IQ_VOL_LAST_WK,0.0,0.0,1.0000000000000002
122,IQ_VALUE_TRADED_LAST_WK,0.0,0.0,1.0000000000000002
121,IQ_CLASS_MARKETCAP,0.0,0.0,1.0000000000000002
127,IQ_CLOSEPRICE,0.0,0.0,1.0000000000000002
136,IQ_ANNUALIZED_DIVIDEND,0.0,0.0,1.0000000000000002
